hill,distance_from_anchor_m,source_dsm_m,mesh_m,surface
龟山,-1200.0,30.88,31.084,land
龟山,-1170.0,31.31,31.549,land
龟山,-1140.0,30.277,30.761,land
龟山,-1110.0,31.466,31.762,land
龟山,-1080.0,33.395,33.675,land
龟山,-1050.0,32.651,33.277,land
龟山,-1020.0,34.353,35.281,land
龟山,-990.0,35.479,36.446,land
龟山,-960.0,36.512,37.748,land
龟山,-930.0,38.631,39.302,land
龟山,-900.0,40.535,41.704,land
龟山,-870.0,38.76,38.76,land
龟山,-840.0,40.44,40.44,land
龟山,-810.0,44.597,45.327,land
龟山,-780.0,46.307,46.849,land
龟山,-750.0,46.379,46.732,land
龟山,-720.0,48.659,48.761,land
龟山,-690.0,50.937,50.242,land
龟山,-660.0,49.862,49.683,land
龟山,-630.0,50.536,50.525,land
龟山,-600.0,49.361,49.433,land
龟山,-570.0,46.258,46.702,land
龟山,-540.0,44.471,44.946,land
龟山,-510.0,44.167,44.2,land
龟山,-480.0,44.868,44.753,land
龟山,-450.0,42.397,42.675,land
龟山,-420.0,42.791,43.204,land
龟山,-390.0,44.543,44.833,land
龟山,-360.0,46.191,46.404,land
龟山,-330.0,47.455,47.645,land
龟山,-300.0,49.632,50.102,land
龟山,-270.0,53.758,54.436,land
龟山,-240.0,60.955,61.158,land
龟山,-210.0,70.766,70.5,land
龟山,-180.0,80.648,79.842,land
龟山,-150.0,87.382,86.824,land
龟山,-120.0,89.777,89.271,land
龟山,-90.0,90.73,89.758,land
龟山,-60.0,91.263,90.369,land
龟山,-30.0,94.551,93.498,land
龟山,0.0,96.197,95.056,land
龟山,30.0,88.019,87.685,land
龟山,60.0,86.37,85.964,land
龟山,90.0,80.682,80.132,land
龟山,120.0,75.702,75.471,land
龟山,150.0,70.114,70.232,land
龟山,180.0,65.479,65.689,land
龟山,210.0,60.797,60.706,land
龟山,240.0,53.346,53.423,land
龟山,270.0,45.455,45.472,land
龟山,300.0,38.005,37.92,land
龟山,330.0,33.227,32.867,land
龟山,360.0,29.816,29.995,land
龟山,390.0,29.829,30.095,land
龟山,420.0,32.366,32.473,land
龟山,450.0,30.514,30.313,land
龟山,480.0,19.868,19.715,land
龟山,510.0,15.0,15.152,land
龟山,540.0,15.0,,water
龟山,570.0,15.0,,water
龟山,600.0,15.0,,water
龟山,630.0,15.0,,water
龟山,660.0,15.0,,water
龟山,690.0,15.0,,water
龟山,720.0,15.0,,water
龟山,750.0,15.0,,water
龟山,780.0,15.0,,water
龟山,810.0,15.0,,water
龟山,840.0,15.0,,water
龟山,870.0,15.0,,water
龟山,900.0,15.0,,water
龟山,930.0,15.0,,water
龟山,960.0,15.0,,water
龟山,990.0,15.0,,water
龟山,1020.0,15.0,,water
龟山,1050.0,15.0,,water
龟山,1080.0,15.0,,water
龟山,1110.0,15.0,,water
龟山,1140.0,15.0,,water
龟山,1170.0,15.0,,water
龟山,1200.0,15.0,,water
蛇山,-1200.0,41.405,41.405,land
蛇山,-1170.0,36.047,36.065,land
蛇山,-1140.0,35.48,35.506,land
蛇山,-1110.0,35.378,35.423,land
蛇山,-1080.0,36.719,36.71,land
蛇山,-1050.0,37.811,37.721,land
蛇山,-1020.0,36.853,36.774,land
蛇山,-990.0,36.246,36.23,land
蛇山,-960.0,39.655,39.676,land
蛇山,-930.0,44.391,44.458,land
蛇山,-900.0,45.41,45.504,land
蛇山,-870.0,45.733,45.631,land
蛇山,-840.0,48.137,48.036,land
蛇山,-810.0,50.889,50.848,land
蛇山,-780.0,55.872,55.815,land
蛇山,-750.0,57.561,57.514,land
蛇山,-720.0,57.204,57.139,land
蛇山,-690.0,59.286,59.274,land
蛇山,-660.0,60.956,60.909,land
蛇山,-630.0,63.213,63.156,land
蛇山,-600.0,66.833,66.794,land
蛇山,-570.0,67.063,67.08,land
蛇山,-540.0,65.754,65.779,land
蛇山,-510.0,65.231,65.176,land
蛇山,-480.0,66.702,66.585,land
蛇山,-450.0,69.657,69.499,land
蛇山,-420.0,71.917,71.774,land
蛇山,-390.0,74.133,73.932,land
蛇山,-360.0,73.162,73.162,land
蛇山,-330.0,67.455,67.259,land
蛇山,-300.0,62.253,62.059,land
蛇山,-270.0,55.618,55.456,land
蛇山,-240.0,49.93,49.856,land
蛇山,-210.0,46.34,46.322,land
蛇山,-180.0,43.157,43.315,land
蛇山,-150.0,42.711,42.711,land
蛇山,-120.0,41.608,41.837,land
蛇山,-90.0,42.477,42.674,land
蛇山,-60.0,42.627,42.76,land
蛇山,-30.0,39.525,39.551,land
蛇山,0.0,37.933,37.96,land
蛇山,30.0,36.333,36.271,land
蛇山,60.0,34.198,34.331,land
蛇山,90.0,32.847,32.977,land
蛇山,120.0,33.353,33.351,land
蛇山,150.0,35.675,35.784,land
蛇山,180.0,35.274,35.321,land
蛇山,210.0,33.14,33.117,land
蛇山,240.0,31.373,31.395,land
蛇山,270.0,29.866,29.945,land
蛇山,300.0,29.771,29.91,land
蛇山,330.0,26.863,26.956,land
蛇山,360.0,28.15,28.279,land
蛇山,390.0,28.544,28.664,land
蛇山,420.0,27.441,27.518,land
蛇山,450.0,27.986,28.106,land
蛇山,480.0,24.684,24.738,land
蛇山,510.0,23.598,23.633,land
蛇山,540.0,24.073,24.116,land
蛇山,570.0,25.399,25.451,land
蛇山,600.0,25.514,25.579,land
蛇山,630.0,25.67,25.666,land
蛇山,660.0,26.494,26.419,land
蛇山,690.0,26.723,26.676,land
蛇山,720.0,29.568,29.477,land
蛇山,750.0,28.613,28.515,land
蛇山,780.0,27.935,27.907,land
蛇山,810.0,25.88,25.884,land
蛇山,840.0,26.387,26.399,land
蛇山,870.0,26.604,26.596,land
蛇山,900.0,25.847,25.834,land
蛇山,930.0,25.495,25.488,land
蛇山,960.0,26.067,26.042,land
蛇山,990.0,25.718,25.756,land
蛇山,1020.0,27.317,27.389,land
蛇山,1050.0,25.908,25.852,land
蛇山,1080.0,26.173,26.145,land
蛇山,1110.0,26.379,26.362,land
蛇山,1140.0,24.761,24.736,land
蛇山,1170.0,26.094,26.036,land
蛇山,1200.0,26.683,26.675,land
珞珈山,-1200.0,32.511,32.984,land
珞珈山,-1170.0,30.773,31.232,land
珞珈山,-1140.0,32.472,32.502,land
珞珈山,-1110.0,33.944,33.001,land
珞珈山,-1080.0,30.516,30.582,land
珞珈山,-1050.0,29.495,29.603,land
珞珈山,-1020.0,28.886,28.973,land
珞珈山,-990.0,28.961,29.065,land
珞珈山,-960.0,29.612,29.578,land
珞珈山,-930.0,29.225,29.087,land
珞珈山,-900.0,31.227,30.808,land
珞珈山,-870.0,39.088,39.088,land
珞珈山,-840.0,41.721,41.721,land
珞珈山,-810.0,40.306,40.424,land
珞珈山,-780.0,47.247,46.507,land
珞珈山,-750.0,53.182,52.096,land
珞珈山,-720.0,61.049,61.049,land
珞珈山,-690.0,69.782,69.782,land
珞珈山,-660.0,77.416,76.755,land
珞珈山,-630.0,86.603,86.586,land
珞珈山,-600.0,97.258,97.258,land
珞珈山,-570.0,105.307,105.307,land
珞珈山,-540.0,109.042,109.042,land
珞珈山,-510.0,113.686,113.719,land
珞珈山,-480.0,118.71,118.71,land
珞珈山,-450.0,121.317,121.317,land
珞珈山,-420.0,121.756,121.756,land
珞珈山,-390.0,123.747,123.747,land
珞珈山,-360.0,124.517,124.517,land
珞珈山,-330.0,122.938,122.938,land
珞珈山,-300.0,122.298,122.298,land
珞珈山,-270.0,122.165,122.165,land
珞珈山,-240.0,122.327,122.327,land
珞珈山,-210.0,122.963,122.963,land
珞珈山,-180.0,125.462,125.462,land
珞珈山,-150.0,126.34,126.34,land
珞珈山,-120.0,124.858,124.858,land
珞珈山,-90.0,124.88,124.88,land
珞珈山,-60.0,123.753,123.753,land
珞珈山,-30.0,123.995,123.995,land
珞珈山,0.0,122.442,122.442,land
珞珈山,30.0,120.156,119.355,land
珞珈山,60.0,115.715,115.671,land
珞珈山,90.0,110.133,110.454,land
珞珈山,120.0,105.015,105.566,land
珞珈山,150.0,100.0,100.072,land
珞珈山,180.0,94.431,94.407,land
珞珈山,210.0,89.89,89.334,land
珞珈山,240.0,85.711,85.711,land
珞珈山,270.0,79.978,79.978,land
珞珈山,300.0,72.195,71.673,land
珞珈山,330.0,70.641,69.975,land
珞珈山,360.0,69.796,69.452,land
珞珈山,390.0,66.727,66.258,land
珞珈山,420.0,61.569,61.301,land
珞珈山,450.0,54.134,54.134,land
珞珈山,480.0,44.873,44.633,land
珞珈山,510.0,34.814,35.233,land
珞珈山,540.0,29.885,29.794,land
珞珈山,570.0,25.124,24.472,land
珞珈山,600.0,21.118,,water
珞珈山,630.0,20.607,20.007,land
珞珈山,660.0,19.5,19.829,land
珞珈山,690.0,19.5,,water
珞珈山,720.0,19.5,,water
珞珈山,750.0,19.5,,water
珞珈山,780.0,19.5,,water
珞珈山,810.0,19.5,,water
珞珈山,840.0,19.5,,water
珞珈山,870.0,19.5,,water
珞珈山,900.0,19.5,,water
珞珈山,930.0,19.5,,water
珞珈山,960.0,19.5,,water
珞珈山,990.0,19.5,,water
珞珈山,1020.0,19.5,,water
珞珈山,1050.0,19.564,,water
珞珈山,1080.0,20.732,,water
珞珈山,1110.0,21.758,20.694,land
珞珈山,1140.0,20.568,,water
珞珈山,1170.0,20.283,,water
珞珈山,1200.0,19.675,,water
磨山,-1200.0,44.795,44.991,land
磨山,-1170.0,43.494,43.32,land
磨山,-1140.0,43.205,43.069,land
磨山,-1110.0,45.339,45.257,land
磨山,-1080.0,46.859,46.8,land
磨山,-1050.0,46.805,46.805,land
磨山,-1020.0,50.501,50.501,land
磨山,-990.0,49.186,49.186,land
磨山,-960.0,44.115,44.025,land
磨山,-930.0,41.113,41.024,land
磨山,-900.0,45.783,45.688,land
磨山,-870.0,46.381,46.355,land
磨山,-840.0,45.712,45.697,land
磨山,-810.0,44.847,44.86,land
磨山,-780.0,48.748,48.846,land
磨山,-750.0,52.365,52.503,land
磨山,-720.0,52.153,52.342,land
磨山,-690.0,52.31,52.528,land
磨山,-660.0,54.7,55.018,land
磨山,-630.0,53.641,53.946,land
磨山,-600.0,54.628,54.853,land
磨山,-570.0,56.261,56.474,land
磨山,-540.0,57.185,57.398,land
磨山,-510.0,56.771,56.962,land
磨山,-480.0,53.083,53.286,land
磨山,-450.0,48.613,48.829,land
磨山,-420.0,45.405,45.46,land
磨山,-390.0,45.088,45.152,land
磨山,-360.0,45.624,45.695,land
磨山,-330.0,47.352,47.442,land
磨山,-300.0,50.039,50.039,land
磨山,-270.0,57.017,57.017,land
磨山,-240.0,65.827,65.918,land
磨山,-210.0,70.912,70.839,land
磨山,-180.0,72.126,72.126,land
磨山,-150.0,70.801,70.722,land
磨山,-120.0,70.545,70.545,land
磨山,-90.0,70.457,70.466,land
磨山,-60.0,70.187,70.232,land
磨山,-30.0,69.106,69.19,land
磨山,0.0,70.133,70.17,land
磨山,30.0,72.315,72.3,land
磨山,60.0,71.601,71.613,land
磨山,90.0,67.871,67.882,land
磨山,120.0,61.115,61.086,land
磨山,150.0,54.818,54.794,land
磨山,180.0,53.189,53.197,land
磨山,210.0,56.686,56.755,land
磨山,240.0,57.23,57.325,land
磨山,270.0,54.453,54.582,land
磨山,300.0,50.363,50.385,land
磨山,330.0,48.98,48.999,land
磨山,360.0,46.643,46.687,land
磨山,390.0,44.091,44.116,land
磨山,420.0,42.62,42.572,land
磨山,450.0,40.88,40.793,land
磨山,480.0,39.617,39.465,land
磨山,510.0,32.8,33.16,land
磨山,540.0,27.183,27.588,land
磨山,570.0,21.091,,water
磨山,600.0,19.208,,water
磨山,630.0,18.5,,water
磨山,660.0,18.5,,water
磨山,690.0,18.5,,water
磨山,720.0,18.5,,water
磨山,750.0,18.5,,water
磨山,780.0,18.5,,water
磨山,810.0,18.5,,water
磨山,840.0,18.5,,water
磨山,870.0,18.5,,water
磨山,900.0,18.5,,water
磨山,930.0,18.5,,water
磨山,960.0,18.5,,water
磨山,990.0,18.5,,water
磨山,1020.0,18.5,,water
磨山,1050.0,18.5,,water
磨山,1080.0,18.5,,water
磨山,1110.0,18.5,,water
磨山,1140.0,18.5,,water
磨山,1170.0,18.5,,water
磨山,1200.0,18.5,,water
